SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Add-ons,tenureBins,InternetServices,gender_Female,gender_Male,PaymentMethod_Bank_transfer_(automatic),PaymentMethod_Credit_card_(automatic),PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
0,0,0,1,1,0,1,0.3139303482587064,0.005734156226971261,0,0,1,0,1,0,1,0,0
0,1,0,1,0,0,1,0.7706467661691543,0.26924626934414153,3,1,2,0,1,0,1,0,0
0,0,0,1,1,0,1,0.37661691542288556,0.1190470707442889,1,0,1,1,0,0,0,0,1
0,1,1,1,0,2,0,0.015920398009950265,0.01659796425939573,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0.7840796019900497,0.5049108787767135,4,1,2,1,0,0,0,1,0
0,0,0,1,0,0,1,0.5109452736318407,0.023880803242446576,0,0,2,0,1,0,0,0,1
0,1,1,1,0,1,0,0.02288557213930348,0.03407677781871776,0,0,0,1,0,0,0,0,1
0,1,1,0,0,2,1,0.34079601990049746,0.13911086035372147,5,0,1,1,0,0,0,0,1
1,0,0,1,0,1,1,0.7124378109452736,0.49364406779661024,3,2,2,1,0,1,0,0,0
1,0,0,1,0,0,1,0.6084577114427862,0.13311763080324246,1,0,2,0,1,0,0,1,0
0,1,1,1,0,0,1,0.021890547263681587,0.028878039793662495,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0.15870646766169155,0.029545873249815776,2,0,1,0,1,0,0,0,1
0,1,1,1,0,1,0,0.011940298507462671,0.013068809874723657,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,1,0.726865671641791,0.01051261974944731,2,0,2,1,0,0,0,1,0
0,0,0,1,1,0,0,0.47263681592039797,0.1279476787030214,2,0,1,0,1,1,0,0,0
0,1,1,0,0,0,0,0.10895522388059697,0.035590917464996326,1,0,1,1,0,0,0,0,1
0,0,0,1,1,0,1,0.5746268656716418,0.25507207995578485,0,1,2,1,0,0,1,0,0
1,0,0,1,1,0,1,0.8079601990049752,0.1381897107590273,3,0,2,0,1,0,0,1,0
0,1,0,1,1,1,1,0.6980099502487562,0.6676377118644069,2,2,2,0,1,1,0,0,0
0,0,0,0,0,2,1,0.22189054726368157,0.16014761422254975,3,1,1,0,1,0,0,0,1
0,0,1,1,1,1,0,0.46467661691542295,0.5240765475313192,3,2,1,0,1,1,0,0,0
0,1,0,1,1,0,0,0.4776119402985074,0.33476303426676496,3,1,1,0,1,1,0,0,0
0,1,1,1,1,0,1,0.8194029850746268,0.6461518975681652,3,2,2,1,0,0,0,1,0
0,0,0,1,1,0,1,0.7810945273631841,0.3918800663227709,4,1,2,0,1,0,0,0,1
0,1,1,1,0,2,0,0.019402985074626844,0.16265774686809142,0,2,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0.3681592039800995,0.00636168938835667,1,0,1,0,1,0,0,1,0
0,0,0,1,1,1,0,0.37363184079601985,0.22355149226234344,1,1,1,1,0,0,0,1,0
0,1,1,1,0,1,0,0.3845771144278607,0.29477938467207077,3,1,1,0,1,0,0,0,1
0,0,1,1,1,0,1,0.6094527363184079,0.25107659358879886,1,1,2,0,1,0,0,1,0
0,0,0,1,0,0,1,0.3323383084577114,0.060392870302137074,1,0,1,0,1,0,0,0,1
0,1,1,1,0,2,1,0.028358208955223896,0.05649525607958733,0,0,0,1,0,0,1,0,0
0,1,1,0,0,2,0,0.3248756218905472,0.3778613209285189,3,2,1,0,1,0,1,0,0
0,1,0,0,0,2,0,0.35870646766169145,0.27524525607958733,4,1,1,0,1,1,0,0,0
0,0,0,1,1,2,1,0.8805970149253731,0.8386203481945469,5,2,2,1,0,0,1,0,0
0,0,0,1,0,1,1,0.572139303482587,0.4933504513633014,4,2,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0.16368159203980104,0.003995486366985999,1,0,1,1,0,0,0,1,0
0,0,0,1,1,1,0,0.07761194029850743,0.21375276344878413,0,2,0,1,0,0,1,0,0
1,1,0,1,1,2,1,0.5492537313432836,0.6136007737656596,3,2,1,0,1,0,1,0,0
0,1,1,1,0,0,0,0.35870646766169145,0.14931834929992632,2,1,1,0,1,0,0,1,0
0,1,1,1,1,1,1,0.600995024875622,0.19157032977155491,4,0,1,0,1,0,0,0,1
0,1,1,1,1,1,1,0.6691542288557214,0.6559275976418572,2,2,2,0,1,1,0,0,0
0,1,0,1,1,2,0,0.07313432835820893,0.21742009027266032,0,2,0,1,0,0,1,0,0
1,1,0,1,0,1,0,0.013930348258706454,0.02632760685335299,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,1,0.753731343283582,0.0890809229918939,3,0,2,0,1,0,0,1,0
0,1,0,1,1,0,1,0.546268656716418,0.1503719141488578,0,0,2,0,1,0,0,1,0
0,0,0,1,0,0,0,0.01641791044776117,0.00660924834193073,0,0,0,1,0,0,0,1,0
1,1,0,1,1,0,0,0.6527363184079601,0.2660049742078114,5,1,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0.011940298507462671,0.002239544952100221,0,0,0,0,1,0,0,0,1
1,1,0,1,1,1,1,0.6696517412935323,0.604705922991894,2,2,2,0,1,1,0,0,0
0,0,0,1,0,0,1,0.6164179104477612,0.016816737288135597,1,0,2,1,0,0,0,1,0
0,0,1,1,1,0,1,0.5059701492537313,0.12478122697126015,3,0,1,0,1,0,0,1,0
0,0,0,1,0,0,1,0.011442786069651711,0.0022337877671333825,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,1,0.5621890547263682,0.1300375368459838,0,0,2,1,0,0,1,0,0
0,0,0,1,0,1,0,0.39751243781094525,0.12035395173176125,2,0,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0.5034825870646765,0.3407044491525424,0,1,2,0,1,0,1,0,0
0,0,1,1,0,0,1,0.31492537313432833,0.005745670596904938,1,0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0.3611940298507462,0.342932479734709,4,2,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0.7786069651741293,0.16030881540162126,3,0,2,0,1,0,0,1,0
0,1,0,1,0,0,1,0.5661691542288557,0.05721490420044216,1,0,2,1,0,1,0,0,0
0,0,0,1,0,2,1,0.7661691542288557,0.6292200165806927,3,2,2,1,0,0,0,1,0
0,1,1,1,0,0,1,0.6701492537313432,0.18440263448784086,2,0,2,0,1,0,0,1,0
0,1,1,1,1,1,1,0.8621890547263681,0.8678956337509213,5,2,2,0,1,0,1,0,0
0,1,0,1,0,0,1,0.517910447761194,0.27825050663227713,0,1,2,1,0,0,0,1,0
0,1,0,1,1,2,1,0.061194029850746234,0.19866893883566694,0,2,0,1,0,0,1,0,0
0,1,0,1,0,0,1,0.36616915422885565,0.07002464075165808,1,0,1,0,1,1,0,0,0
0,1,1,1,0,1,0,0.02487562189054726,0.048158852247605015,0,0,0,1,0,0,0,0,1
1,1,1,1,0,0,0,0.5203980099502488,0.3810392870302138,0,1,2,1,0,1,0,0,0
0,1,1,1,0,0,1,0.6771144278606964,0.37605932203389836,2,1,2,0,1,0,0,0,1
0,1,0,1,1,2,1,0.06666666666666665,0.19785717575534267,0,2,0,1,0,0,1,0,0
0,0,0,0,0,2,1,0.42736318407960205,0.5055096260132647,5,2,1,0,1,0,1,0,0
0,0,0,1,0,0,1,0.5104477611940298,0.008008244288872514,0,0,2,0,1,0,0,1,0
1,0,0,1,0,0,1,0.5676616915422885,0.1321216378039794,1,0,2,1,0,0,1,0,0
0,1,1,1,0,2,0,0.020895522388059695,0.1559506263817244,0,2,0,0,1,0,0,1,0
0,1,1,1,1,2,0,0.06517412935323383,0.14152312085482682,0,2,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0.11492537313432838,0.023253270081061168,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,1,0.8597014925373135,0.2927470983787767,4,0,2,0,1,0,0,1,0
0,0,0,0,0,0,1,0.05970149253731341,0.0027922347089167285,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,1,0.5696517412935324,0.26767455784819455,1,1,2,1,0,1,0,0,0
0,1,1,1,1,0,1,0.8517412935323382,0.5777795689019897,4,2,2,0,1,1,0,0,0
0,1,1,1,1,2,1,0.06865671641791044,0.047508290346352254,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0.5069651741293533,0.007967943994104644,0,0,2,1,0,0,0,1,0
0,1,0,1,0,0,1,0.508457711442786,0.05194132277081799,0,0,2,0,1,0,0,1,0
0,1,0,1,1,0,0,0.34676616915422886,0.28323047162859255,1,1,1,1,0,0,0,1,0
0,1,1,1,0,1,1,0.7179104477611941,0.25085206337509214,2,1,2,0,1,0,0,1,0
1,0,0,1,1,0,1,0.699502487562189,0.020639508106116436,2,0,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0.06865671641791044,0.054900515843773035,0,0,1,0,1,0,0,0,1
0,0,0,1,1,0,0,0.7791044776119402,0.05758336403831983,3,0,2,0,1,0,0,1,0
0,1,0,1,0,2,1,0.8656716417910447,0.8395990696389095,5,2,2,0,1,0,0,1,0
