iter	Passed	Remaining
0	5	3185
1	5	3185
2	5	3185
3	7	2357
4	7	2357
5	10	2071
6	12	1813
7	12	1813
8	14	1757
9	14	1757
10	14	1757
11	14	1757
12	14	1757
13	14	1757
14	14	1757
15	22	2192
16	22	2192
17	22	2192
18	58	4893
19	61	4467
20	593	38188
21	605	34981
22	611	32067
23	1159	55675
24	1704	75399
25	1740	71370
26	1746	66711
27	2322	83018
28	2849	95706
29	2853	90363
30	2856	85535
31	3411	96876
32	3413	92156
33	3952	101694
34	4524	111142
35	4690	110222
36	5266	118607
37	5269	113896
38	5273	109566
39	5854	117099
40	6365	122707
41	6936	129026
42	7451	133892
43	8004	139076
44	8532	143505
45	8536	139088
46	8538	134911
47	9120	139852
48	9674	144069
49	10225	148003
50	10763	151517
51	11292	154711
52	11296	150707
53	11849	154047
54	12394	157091
55	12397	153273
56	12946	156216
57	12950	152590
58	13495	155346
59	13513	152030
60	14055	154614
61	14569	156763
62	15093	158921
63	15673	161553
64	16226	163794
65	16763	165772
66	16765	162476
67	17338	164712
68	17844	166233
69	18435	168466
70	19016	170504
71	19504	171640
72	20050	173226
73	20580	174604
74	21138	176150
75	21146	173133
76	21188	170483
77	21192	167612
78	21792	169457
79	22393	171240
80	22920	172398
81	22969	169972
82	23524	171300
83	24069	172496
84	24071	169816
85	24603	170892
86	24613	168359
87	25246	170083
88	25774	171049
89	26333	172183
90	26926	173491
91	26930	171006
92	27520	172254
93	28082	173287
94	28681	174505
95	28721	172326
96	29236	173011
97	29290	170977
98	29833	171797
99	30323	172290
100	30872	173095
101	31014	171611
102	31524	172169
103	32105	173090
104	32120	170961
105	32698	171838
106	32700	169700
107	33216	170234
108	33775	170969
109	34345	171726
110	34349	169667
111	34351	167636
112	34915	168356
113	35489	169098
114	36004	169535
115	36555	170122
116	37149	170886
117	37671	171299
118	37698	169464
119	38279	170131
120	38852	170736
121	39407	171242
122	39924	171567
123	40477	172028
124	41053	172569
125	41587	172915
126	42119	173240
127	42684	173683
128	43204	173924
129	43714	174118
130	44284	174532
131	44286	172717
132	44862	173146
133	44883	171440
134	45460	171863
135	46031	172248
136	46033	170508
137	46609	170901
138	46612	169198
139	46614	167520
140	47201	167948
141	47794	168382
142	48364	168721
143	48885	168876
144	49454	169184
145	49960	169268
146	50494	169437
147	51072	169740
148	51610	169901
149	52163	170097
150	52736	170351
151	53245	170384
152	53789	170525
153	54341	170678
154	54361	169168
155	54936	169386
156	55007	168057
157	55547	168163
158	56121	168365
159	56688	168532
160	57242	168652
161	57836	168881
162	58420	169072
163	58940	169066
164	59485	169125
165	59489	167651
166	60071	167813
167	60591	167792
168	61180	167954
169	61702	167924
170	61727	166547
171	62276	166589
172	62785	166518
173	63404	166729
174	63972	166800
175	64528	166829
176	64676	165807
177	65290	165979
178	65844	165991
179	65849	164623
180	66423	164682
181	66946	164609
182	67475	164544
183	67566	163416
184	68167	163522
185	68728	163527
186	68730	162204
187	68731	160894
188	69247	160794
189	69759	160681
190	70336	160713
191	70882	160668
192	71476	160722
193	71994	160603
194	72545	160551
195	73129	160567
196	73132	159310
197	73725	159342
198	74315	159361
199	74816	159183
200	75385	159146
201	75942	159080
202	76441	158886
203	77000	158813
204	77484	158582
205	78036	158486
206	78038	157277
207	78040	156081
208	78592	155987
209	79161	155923
210	79692	155780
211	80236	155658
212	80238	154488
213	80241	153331
214	80243	152186
215	80724	151951
216	81304	151900
217	81846	151772
218	82435	151729
219	82959	151560
220	83502	151423
221	84020	151237
222	84086	150239
223	84602	150049
224	85171	149950
225	85769	149896
226	86289	149703
227	86816	149517
228	87338	149320
229	87910	149206
230	88439	149015
231	88989	148854
232	88991	147781
233	89560	147654
234	90113	147494
235	90669	147338
236	91310	147314
237	91830	147090
238	92348	146862
239	92371	145849
240	92863	145581
241	93440	145442
242	94025	145312
243	94575	145124
244	94594	144124
245	95173	143980
246	95177	142969
247	95687	142720
248	96243	142537
249	96245	141537
250	96247	140545
251	96805	140368
252	97380	140211
253	97917	139998
254	97995	139129
255	98487	138850
256	99034	138647
257	99626	138505
258	99628	137543
259	100196	137365
260	100741	137154
261	101275	136924
262	101845	136741
263	101847	135796
264	102424	135621
265	102427	134687
266	102949	134439
267	102951	133514
268	102952	132596
269	103536	132430
270	104063	132188
271	104639	132006
272	105240	131852
273	105759	131594
274	105761	130694
275	106398	130580
276	106400	129688
277	106978	129499
278	106980	128617
279	106983	127741
280	107530	127517
281	108082	127297
282	108715	127169
283	109257	126932
284	109513	126361
285	110014	126075
286	110594	125876
287	111214	125720
288	111217	124868
289	111777	124643
290	112334	124413
291	112341	123575
292	112836	123277
293	113425	123078
294	113994	122856
295	113998	122026
296	114553	121788
297	115131	121572
298	115658	121300
299	116205	121046
300	116779	120819
301	117337	120574
302	117340	119759
303	117893	119508
304	118444	119252
305	119013	119013
306	119527	118717
307	120074	118451
308	120572	118136
309	121081	117830
310	121640	117571
311	122216	117328
312	122827	117114
313	122829	116322
314	123379	116049
315	123965	115809
316	124483	115504
317	125021	115216
318	125533	114902
319	126057	114597
320	126577	114288
321	127213	114081
322	127499	113560
323	128057	113282
324	128062	112515
325	128606	112223
326	129152	111931
327	129741	111676
328	130299	111391
329	130302	110634
330	130836	110328
331	131368	110020
